# W, RES,  TEACH, SERV,  SOC,  MB,   STR,  IDLE, MISC, DESI
1, 25.00,  0.00,  11.00, 5.00, 1.00, 5.00, 4.00, -1.00, 0.00
2, 5.00, 0.00, 10.00, 10.0, 3.00, 6.00, 4.00, -1.00, 0.00
3, 20.00, 20.00, 11.50, 3.00, 4.00, 4.00, 1.00, -1.00, 0.00
4, 16.00, 16.00, 9.00, 15.00, 11.00, 2.00, 0.00, -1.00, 2.00
5, 15.00, 15.00, 14.00, 10.00, 10.00, 2.00, 5.00, -1.00, 0.00
6, 16.00, 22.00, 5.00, 14.00, 7.00, 3.00, 4.50, -1.0, 0.00
7, 15.00, 17.00, 10.00, 14.00, 6.00, 4.00, 4.00, -1.00, 3.50
8, 17.50, 20.00, 17.00, 9.00, 9.75, 5.00, 4.00, -1.00, 9.50
9, 16.00, 17.00, 5.00, 18.50, 10.50, 4.50, 7.00, -1.00, 0.00
10, 17.50, 17.50, 7.50, 10.00, 9.00, 2.50, 4.00, -1.00, 4.00
11, 18.00, 19.00, 7.00, 8.50, 8.00, 4.00, 5.50, -1.00, 4.00
12, 20.00, 18.00, 8.00, 16.00, 7.50, 6.00, 6.00, -1.00, 0.00
13, 12.50, 20.0, 16.00, 2.00, 6.75, 4.00, 4.00, -1.00, 0.50
14, 9.00, 11.00, 22.00, 0.00, 6.50, 4.00, 4.00, -1.00, 0.00
15, 19.00, 0.00, 8.00, 20.00, 2.00, 0.50, 4.50, -1.00, 0.00
16, 16.00, 22.00, 8.50, 8.00, 8.00, 4.00, 1.00, -1.00, 0.00
17, 13.00, 17.00, 15.00, 2.00, 8.00, 4.00, 1.00, -1.00, 0.00
18, 8.00, 14.50, 26.50, 5.00, 4.50, 4.00, 5.00, -1.00, 0.00
19, 8.00, 14.00, 28.00, 5.00, 7.50, 1.50, 1.50, -1.00, 1.00
20, 13.00, 6.00, 5.25, 6.00, 2.00, 4.00, 5.00, -1.00, 1.00
21, 25.00, 1.00, 5.00, 0.00, 5.00, 4.00, 6.50, -1.00, 0.00
22, 25.00, 0.00, 28.34, 2.00, 6.00, 4.00, 8.50, -1.00, 0.00
23, 33.50, 0.00, 7.00, 4.00, 6.25, 8.00, 5.00, -1.00, 0.00
24, 25.00, 0.00, 13.50, 10.00, 3.50, 1.25, 3.75, -1.00, 0.00
25, 50.00, 0.00, 1.75, 15.00, 1.50, 0.25, 12.25, -1.00, 0.00
26, 7.75, 0.00, 8.25, 0.00, 4.50, 3.00, 10.00, -1.00, 0.00
27, 8.00, 0.00, 19.75, 12.00, 7.00, 8.00, 8.25, -1.00, 1.00
28, 15.50, 2.00, 10.00, 7.00, 8.50, 6.25, 3.75, -1.00, 12.00
29, 13.50, 4.50, 6.75, 10.00, 4.50, 6.00, 4.25, -1.00, 0.00
30, 15.00, 18.00, 7.00, 10.00, 7.75, 2.25, 2.00, -1.00, 1.00
31, 16.25, 17.25, 10.50, 10.00, 7.00, 5.00, 3.00, -1.0, 0.00
32, 16.00, 18.00, 13.00, 24.00, 3.00, 4.00, 1.25, -1.00, 0.00
33, 8.00, 10.00, 5.00, 15.00, 3.75, 4.00, 5.00, -1.00, 0.00
34, 24.00, 5.00, 6.75, 10.00, 2.00, 2.25, 8.00, -1.00, 0.00
35, 6.0, 14.00, 19.00, 15.00, 5.50, 4.00, 2.50, -1.00, 0.00
36, 16.50, 16.00, 18.00, 4.00, 7.75, 5.00, 2.00, -1.00, 0.00
# W, RES,  TEACH, SERV,  SOC,  MB,   STR,  IDLE, MISC, DESI
37, 9.00, 17.00, 7.25, 6.00, 5.50, 2.00, 4.00, -1.00, 0.00
38, 25.00, 2.00, 2.25, 5.00, 3.00, 3.00, 4.00, -1.00, 24.00
39, 7.00, 22.00, 10.00, 0.00, 4.50, 3.00, 3.50, -1.00, 0.00
40, 18.00, 16.00, 13.00, 14.00, 6.50, 4.00, 3.00, -1.00, 5.00
41, 12.50, 11.0, 9.50, 9.00, 5.50, 4.00, 2.50, -1.00, 3.00
42, 14.00, 15.00, 10.00, 20.00, 4.25, 7.50, 2.00, -1.00, 0.00
43, 8.75, 21.00, 3.75, 6.00, 4.50, 2.00, 0.25, -1.00, 3.50
44, 24.00, 1.00, 7.00, 10.00, 5.00, 12.00, 4.00, -1.00, 0.00
45, 11.00, 16.00, 10.00, 1.00, 3.50, 5.00, 5.00, -1.00, 0.00
46, 5.25, 12.00, 31.00, 18.00, 3.25, 6.00, 3.50, -1.00, 3.00
47, 8.75, 7.50, 1.00, 1.00, 2.00, 6.25, 14.50, -1.00, 0.00
48, 0.00, 12.50, 35.50, 10.00, 1.75, 3.50, 3.00, -1.00, 0.00
49, 0.00, 12.50, 9.00, 15.00, 7.00, 9.00, 7.75, -1.00, 0.00
50, 7.00, 1.50, 9.0, 4.00, 6.00, 5.00, 20.00, -1.00, 2.50
















